hashtag,gpt2_segmentation,heuristics_segmentation,edit_distance
JEHYUN,je hyun,jehyun,1
PastorTroy,pastor troy,pastortroy,1
Yang2020,yang 2020,yang2020,1
emptyhomes,empty homes,emptyhomes,1
Feverth,feverth,fever th,1
signaturewin,signaturewin,signature win,1
iventi,iventi,iven ti,1
LakewoodChurch,lakewood church,lakewoodchurch,1
unity2020,unity2020,unity 2020,1
bulgarianboy,bulgarianboy,bulgarian boy,1
EsUp,es up,e sup,2
spitroast,spit roast,spitroast,1
moneyslave,money slave,moneyslave,1
BullyingUK,bullying uk,bullyinguk,1
takingloads,takingloads,taking loads,1
ASA18,asa 18,asa18,1
97line,97 line,97line,1
momsquad,momsquad,mom squad,1
MapleStory2,maplestory 2,maplestory2,1
DatWay,datway,dat way,1
stoprob,stoprob,s to prob,2
Tyrat,tyrat,ty rat,1
Teeshirt,teeshirt,tee shirt,1
footslut,foot slut,footslut,1
RANCEL,rancel,rance l,1
Susla,susla,s us la,2
OLTL,o ltl,olt l,2
TSgirl,tsgirl,ts girl,1
MatchinAfrica,match in africa,matchinafrica,2
spiceplatter,spice platter,spiceplatter,1
MOMR,momr,mom r,1
ThreeFifths,three fifths,threefifths,1
WankChat,wank chat,wankchat,1
KINGPROMOTES,king promotes,kingpromotes,1
SmartDissent,smart dissent,smartdissent,1
KarissaShannon,karissa shannon,karissashannon,1
UseBNB,usebnb,use bnb,1
hentaii,hentai i,hentaii,1
TMITR,tmitr,t mitr,1
ROGME,r o g m e,rog me,3
omisego,omisego,omise go,1
KaneHodder,kane hodder,kanehodder,1
exploreOR,explore or,exploreor,1
chopperlife,chopperlife,chopper life,1
Anitha,anitha,an it ha,2
2018MAMA,2018 mama,2018mama,1
lingQ,lingq,ling q,1
GeLance,ge lance,gelance,1
TheFilmCrowd,the film crowd,thefilmcrowd,2
SidFarts,sid farts,sidfarts,1
TWITCHTV,twitch tv,twitchtv,1
AZNG,az ng,azng,1
SamChand,sam chand,samchand,1
Madnessa,madnessa,madness a,1
kathrynjoseph,kathryn joseph,kathrynjoseph,1
Fansigns,fan signs,fansign  s,3
JUNGKOOK,jung kook,jungkook,1
SSHOC,sshoc,s shoc,1
ruralwomen,ruralwomen,rural women,1
TwitchKitten,twitch kitten,twitchkitten,1
KatTolentino,kat tolentino,kattolentino,1
SolJi,sol ji,solji,1
danielspree,daniel spree,danielspree,1
AjithKumar,ajith kumar,ajithkumar,1
ChickFilA,chick fil a,chick fila,1
thedeaddon,the deaddon,thedeaddon,1
ManyVids,many vids,manyvids,1
KIMYOHAN,kim yohan,kimyohan,1
BenAndBen,ben and ben,benandben,2
TXsen,txsen,tx sen,1
SUKOR,s ukor,sukor,1
OKpreps,ok preps,okpreps,1
GayDick,gay dick,gaydick,1
Osint,osint,os in t,2
BellLet,bell let,belllet,1
LOUDRE,lou dre,loudre,1
Buryfc,bury fc,buryfc,1
AaliyahHadid,aaliyah hadid,aaliyahhadid,1
JeongMo,jeong mo,jeongmo,1
AbAg,ab ag,abag,1
PPOSITIVE,ppositive,p positive,1
DELTARUNE,delta rune,deltarune,1
AlexPettyfer,alex pettyfer,alexpettyfer,1
jampact,jam pact,jampact,1
Sussexsquad,sussex squad,sussexsquad,1
tameimpala,tame impala,tameimpala,1
mixedidiom,mixed idiom,mixedidiom,1
GreysAnatomy,greys anatomy,greysanatomy,1
PEDN,pedn,ped n,1
BedTimeStory,bed time story,bedtime story,1
efemoney,efe money,efemoney,1
SteinRO,stein ro,ste  in ro,2
WeAreCTA,we are cta,wearecta,2
BEARPAW,bear paw,bearpaw,1
HelpNetSecurity,help net security,helpnetsecurity,2
LoversRock,lovers rock,loversrock,1
followForMore,followformore,follow for more,2
changestour,changes tour,changestour,1
manyVids,many vids,manyvids,1
bladeandsoul,blade and soul,bladeandsoul,2
hydepark,hyde park,hydepark,1
NoRino,no rino,nor in o,3
EfDa,ef da,efda,1
LsDown,lsdown,ls down,1
BULLETPROOF,bullet proof,bulletproof,1
sunnyLeone,sunny leone,sunnyleone,1
NLE2019,nle2019,nle 2019,1
shailenewoodley,shailene woodley,shailenewoodley,1
HappyBirthdayToME,happy birthday to me,happy birthday to  me,1
DYPAG,dyp ag,dy  pag,2
jeffstinco,jeff stinco,jeffstinco,1
whitestonedome,white stone dome,whitestonedome,2
compacttractor,compacttractor,compact tractor,1
RawStrokes,raw strokes,rawstrokes,1
CapitalisM,capital is m,capitalism,2
constitutionofindia,constitutionofindia,constitution of india,2
ThePeoplesU,the peoples u,the people su,2
aromasensei,aroma sensei,aromasensei,1
KimYohan,kim yohan,kimyohan,1
LockeandKey,locke and key,lockeandkey,2
NCTDREAM,nct dream,nctdream,1
healfromwithin,heal from within,healfromwithin,2
kickintheballs,kickin the balls,kick in the balls,1
KCONJAPAN,kcon japan,kconjapan,1
SaveTheTurtles,save the turtles,savetheturtles,2
AIMiM,ai mim,aimim,1
drdisrespect,dr disrespect,drdisrespect,1
IDOLCHAMP,idol champ,idolchamp,1
cmuafrica,cmu africa,cmuafrica,1
Gbese,gbese,g bese,1
exposedfag,exposedfag,exposed fag,1
WENQING,wen qing,wenqing,1
MACtion,maction,m action,1
9by9TH,9by 9th,9by9th,1
SANGGYUN,sang gyun,sanggyun,1
blackandabroad,black and abroad,blackandabroad,2
bootybounce,bootybounce,booty bounce,1
meettheaddams,meet the addams,meettheaddams,2
REinvesting,reinvesting,re investing,1
Crowdfundcash,crowdfund cash,crowdfundcash,1
rafaelnadal,rafael nadal,rafaelnadal,1
CJHLHockey,cjhl hockey,cjhlhockey,1
SAiDA,saida,said a,1
TRONSCAN,tron scan,trons can,2
TRONSCAN,tron scan,tronscan,1
smilemonth,smile month,smilemonth,1
Bodybuildingcom,bodybuilding com,body building com,1
Bangtanboys,bangtan boys,bangtanboys,1
MasterChefAu,masterchef au,masterchefau,1
ZipemUp,zipem up,zipemup,1
teamchevelle,team chevelle,teamchevelle,1
RiseAndVote,riseandvote,rise and vote,2
Strictly2K,strictly 2k,strictly2k,1
HAECHAN,hae chan,haechan,1
kimjinwoo,kimjinwoo,kim jinwoo,1
S8Ep5,s8 ep 5,s8 ep5,1
sundayfunda,sundayfunda,sunday funda,1
mattgaetz,matt gaetz,mattgaetz,1
Slowclaps,slowclaps,slow claps,1
celineKim,celine kim,celinekim,1
JameelaJamil,jameela jamil,jameelajamil,1
KaoRhys,kao rhys,kaorhys,1
sloanscience,sloan science,sloanscience,1
HighWeald,high weald,highweald,1
ouTwork,outwork,out work,1
ipl2019,ipl2019,ipl 2019,1
mendesarmy,mendesarmy,mendes army,1
CORPGOV,cor pgov,corpgov,1
MISen,mi sen,m is en,3
deltarune,delta rune,deltarune,1
MTVEMA,mt vema,mtvema,1
FayState,fay state,faystate,1
4NOLOGUE,4 nologue,4nologue,1
BiggBoss12,biggboss 12,biggboss12,1
Martialfc,martialfc,martial fc,1
tariqnasheed,tariq nasheed,tariqnasheed,1
TiffanyYoungo,tiffany youngo,tiffanyyoungo,1
FreeASSANGE,free assange,freeassange,1
lilnasx,lilnasx,lil nas x,2
dunlapphoto,dunlap photo,dunlapphoto,1
Btsarmy,bts army,btsarmy,1
HangTenStories,hang ten stories,hangtenstories,2
WangJiaer,wang jiaer,wangjiaer,1
UTRGV,ut rgv,utrgv,1
g20yea,g20yea,g 20 yea,2
MARKTUAN,mark tuan,marktuan,1
disneyaladdin,disney aladdin,disneyaladdin,1
RealCpls,real cpls,realcpls,1
MissingTEEN,missing teen,missing  teen,1
drkafeel,dr kafeel,drkafeel,1
500pxrtg,500px rtg,500pxrtg,1
bellLetsTalk,bell lets talk,bellletstalk,2
thereusedbox,the reused box,thereusedbox,2
flexiontoken,flexion token,flexiontoken,1
FrightCrate,fright crate,frightcrate,1
SidheartS,sidheart s,sidhearts,1
MILFMafia,milf mafia,milfmafia,1
juliannehough,julianne hough,juliannehough,1
Alluring701,alluring 701,alluring701,1
DiskiFans,diski fans,diskifans,1
FAlkirk,f alkirk,falkirk,1
BackdropCMS,backdrop cms,backdropcms,1
tododeku,todo deku,tododeku,1
lateralsalud,lateral salud,lateralsalud,1
FORon1,for on1,for   on 1,3
FORon1,for on1,for  on 1,2
quotetoponder,quote to ponder,quotetoponder,2
BBlogRT,bblog rt,bblogrt,1
picklesthefrog,pickles the frog,picklesthefrog,2
JASONLUV,jason luv,jasonluv,1
tradiecock,tradiecock,tradie cock,1
VeryCavallari,very cavallari,verycavallari,1
NoShoesNation,no shoes nation,noshoesnation,2
Jaepil,ja epil,jaepil,1
paranormaloncam,paranormal on cam,paranormaloncam,2
KimMinseo,kim min seo,kim minseo,1
LoiYals,loi yals,loiyals,1
KernCUE,kern cue,kerncue,1
calypsoweddings,calypso weddings,calypsoweddings,1
YaLLaG,yallag,y all ag,2
FUMIYAM,fumi yam,fumiyam,1
harpersbazaar,harpers bazaar,harpersbazaar,1
TrashAf,trashaf,trash af,1
CODNODP,cod nodp,cod no dp,1
MARSHMELLO,marsh mello,marshmello,1
prsguitars,prs guitars,prsguitars,1
Aoneherbal,aone herbal,aoneherbal,1
ImpeachTrumpMarch,impeach trump march,impeachtrumpmarch,2
sarahgrafferty,sarahg rafferty,sarahgrafferty,1
tightywhities,tightywhities,tighty whities,1
hemenclothing,hemen clothing,hemenclothing,1
ayeshacurry,ayesha curry,ayeshacurry,1
MGMotorIndia,mg motor india,mgmotorindia,2
Rylsky,r ylsky,rylsky,1
plantbasedvibes,plant based vibes,plantbasedvibes,2
arkhosound,arkho sound,arkhosound,1
PAISLEYPORTER,paisley porter,paisleyporter,1
greysanatomy,greys anatomy,greysanatomy,1
NaazBaaz,naaz baaz,naazbaaz,1
GnFnR,gnfnr,g nfnr,1
Doll10Beauty,doll 10 beauty,doll10beauty,2
GDGMENA,gdg mena,gdgmena,1
SoMeDocs,so me docs,somedocs,2
SambitPatra,sambit patra,sambitpatra,1
ZhuZanJin,zhu zan jin,zhuzanjin,2
NationalRedHeadDay,national red head day,national redhead day,1
SayNoToFireCrackers,say no to fire crackers,say no to firecrackers,1
wererdraws,werer draws,wererdraws,1
MilfieClub,milfie club,milfieclub,1
timthetatman,tim the tatman,timthetatman,2
antigypsyism,anti gypsyism,antigypsyism,1
TAPAirPortugal,tap air portugal,tapairportugal,2
MIDTERMS2018,mid terms 2018,midterms 2018,1
SEOeSale,seo esale,seoesale,1
LustrousPH,lustrous ph,lustrousph,1
BHAIJAAN,bha ijaan,bhaijaan,1
kumratvalley,kumrat valley,kumratvalley,1
parkminyoung,parkminyoung,park min young,2
Bamteddy,bam teddy,bamteddy,1
VetoBeto,veto beto,ve to be to,2
RugbyRisingIRL,rugby rising irl,rugbyrisingirl,2
beomgyu,be omg yu,beomgyu,2
POtuS,p otu s,potus,2
Catfishdomme,catfishdomme,catfish domme,1
smalltittyclub,small titty club,smalltittyclub,2
eaRNit,earnit,earn it,1
ALDENrichards,alden richards,aldenrichards,1
WeAreYuvaa,we are yuvaa,weareyuvaa,2
Sexypetitefreak,sexy petite freak,sexypetitefreak,2
speakyourselftour,speak yourself to ur,speak yourself tour,1
iamkevingates,i am kevin gates,iamkevingates,3
etsymntt,et sym nt t,etsymntt,3
valointranet,valo intranet,valointranet,1
CHANYEOL,chan yeol,chanyeol,1
NaijaWoodshop,naija woodshop,naijawoodshop,1
newjazztrios,newjazz trios,newjazztrios,1
CoolerBoxingDay,cooler boxing day,coolerboxingday,2
5sosfam,5 sosfam,5sosfam,1
kimheechul,kimheechul,kim heechul,1
lovebychanceseries,love by chance series,lovebychanceseries,3
weareoneEXO,we are one exo,weareoneexo,3
marvelsrunaways,marvels runaways,marvelsrunaways,1
Kajalaggarwal,kajal aggarwal,kajalaggarwal,1
FeedTheHungryTz,feed the hungry tz,feedthehungrytz,3
AlphonsePuthren,alphonse puthren,alphonseputhren,1
leeseunggi,lee seunggi,leeseunggi,1
IndakPinas,indak pinas,indakpinas,1
Tamilrockers,tamil rockers,tamilrockers,1
BaisedBb,baisedbb,baised bb,1
clipstudiopaint,clipstudiopaint,clip studio paint,2
protectYoungjae,protectyoungjae,protect youngjae,1
MONSTA_X,mons ta_x,monsta_x,1
UnniMukundan,unni mukundan,unnimukundan,1
AjnaraIndia,ajnara india,ajnaraindia,1
Chulacuteboy,chula cute boy,chulacuteboy,2
bigil100days,bigil 100 days,bigil100days,2
MewGulfStory,mew gulf story,mewgulfstory,2
deolaawrites,deolaa writes,deolaawrites,1
HappyBirthDaySRK,happy birth day srk,happy birthday srk,1
ANALMASTURBATION,an al masturbation,anal masturbation,1
GhantaMasterMind,ghanta master mind,ghanta mastermind,1
leehyukjae,leehyukjae,lee hyukjae,1
cocojahseed,coco jah seed,cocojahseed,2
TaoKaeNoi,tao kae noi,taokaenoi,2
Alteriloilo,alter ilo ilo,alteriloilo,2
sarapngpinoy,sarap ng pinoy,sarapngpinoy,2
TENLEE_1001,ten lee_1001,tenlee_1001,1
ARMYselcaday,armyselcaday,army selca day,2
gugudansemina,gugu dansemina,gugudan semina,2
off_tumcial,off_t umcial,off_tumcial,1
PureVerithanam,pure veri thanam,pure verithanam,1
onlinesohopathi,online sohopathi,onlinesohopathi,1
BornFighlerSana,born fighler sana,bornfighlersana,2
HIGH1SEOULMUSICAWARDS,high 1seoul music awards,high1 seoul music awards,2
ThalapathyVIJAY,thalapathy vi jay,thalapathy vijay,1
nbaonabscbn,nba on abscbn,nbaonabscbn,2
nErDCampLI,nerd camp li,nerdcampli,2
SeriVideoKral1,seri video kral 1,serivideokral1,3
